dataset,method,param,exit_status,elapsed_seconds,wall_time,max_process_rss_kb,max_yarn_allocated_gb,system_used_max_gb,lines,hdfs_read_gb,hdfs_write_gb,gc_time_ms
ds-00-000mb-100files-tiny-news,hadoop-base,r1,0,45,0:45.21,360900,3.00,3.03,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-base,r2,0,44,0:44.32,335948,2.00,2.54,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-base,r4,0,29,0:29.25,284372,4.00,2.73,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-base,r8,0,37,0:37.35,331516,2.00,2.50,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-base,r16,0,41,0:41.36,320408,4.00,2.65,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-base,r24,0,50,0:49.98,339928,5.00,3.12,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-inmapper,r1,0,27,0:26.42,366356,2.00,2.72,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-inmapper,r2,0,25,0:25.35,364664,1.00,2.88,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-inmapper,r4,0,30,0:29.43,284008,2.00,2.55,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-inmapper,r8,0,31,0:31.45,340620,5.00,3.24,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-inmapper,r16,0,42,0:41.56,337936,4.00,2.74,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,hadoop-inmapper,r24,0,50,0:50.05,372232,5.00,3.16,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,pyspark-fastest,p4,0,96,1:36.32,387468,4.00,2.85,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,pyspark-fastest,p8,0,41,0:40.65,528064,4.00,3.01,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,pyspark-fastest,p16,0,43,0:42.79,627572,4.00,3.10,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,pyspark-fastest,p24,0,42,0:42.23,585284,4.00,3.16,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,pyspark-fastest,p32,0,48,0:48.40,584072,4.00,3.12,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,pyspark-fastest,p40,0,49,0:48.34,579240,4.00,2.95,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,java-spark,p4,0,39,0:39.61,537144,4.00,3.09,9730,0.0000,0.0000,0
ds-00-000mb-100files-tiny-news,java-spark,p8,0,39,0:39.49,475088,4.00,3.05,9730,0.0000,0.0000,0
