Dataset,Dataset_Size,Input_Path,Framework,Implementation,Output_Path,Index_Terms,Execution_Time,Max_Memory_KB,Notes
small,current small dataset,/input/full_dataset,Hadoop,Java MapReduce,/output/hadoop-index-small,29240,34:31.95,223140,Combiner used
small,current small dataset,/input/full_dataset,Spark,Python PySpark,/output/spark-index-small,29240,0:34.75,465144,Same output as Hadoop
gutenberg-medium,Project Gutenberg medium,/input/gutenberg-medium,Hadoop,Java MapReduce,/output/hadoop-index-gutenberg-medium,304951,41:00.65,226996,Combiner used
gutenberg-medium,Project Gutenberg medium,/input/gutenberg-medium,Spark,Python PySpark,/output/spark-index-gutenberg-medium,304951,6:21.98,573428,Same output as Hadoop
gutenberg-large,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce,/output/hadoop-index-gutenberg-large,993379,3:39:49,251036,Combiner used
gutenberg-large,Project Gutenberg large 1.7GB,/input/gutenberg-large,Spark,Python PySpark,/output/spark-index-gutenberg-large,993379,32:29.60,748116,Same output as Hadoop
gutenberg-medium,Project Gutenberg medium,/input/gutenberg-medium,Hadoop,Java MapReduce 2 reducers,/output/hadoop-index-gutenberg-medium-r2,304951,36:08.58,221236,Custom word partitioner; output matches original
gutenberg-medium,Project Gutenberg medium,/input/gutenberg-medium,Hadoop,Java MapReduce 4 reducers,/output/hadoop-index-gutenberg-medium-r4,304951,36:06.94,222632,Custom word partitioner; output matches original
gutenberg-large,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce 2 reducers,/output/hadoop-index-gutenberg-large-r2,993379,2:57:35,374532,Custom word partitioner; output matches original
gutenberg-large,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce 4 reducers,/output/hadoop-index-gutenberg-large-r4,993379,2:50:40,261504,Custom word partitioner; output matches original
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce 1 reducer,/output/large-sweep/hadoop-base-r1,993379,3:31:00,280892,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce 2 reducers,/output/large-sweep/hadoop-base-r2,993379,3:33:59,295032,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce 4 reducers,/output/large-sweep/hadoop-base-r4,993379,3:38:14,283840,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java MapReduce 8 reducers,/output/large-sweep/hadoop-base-r8,993379,3:29:24,271488,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java In-Mapper 1 reducer,/output/large-sweep/hadoop-inmapper-r1,993379,3:21:23,278080,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java In-Mapper 2 reducers,/output/large-sweep/hadoop-inmapper-r2,993379,3:22:59,262064,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java In-Mapper 4 reducers,/output/large-sweep/hadoop-inmapper-r4,993379,3:25:12,271360,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Hadoop,Java In-Mapper 8 reducers,/output/large-sweep/hadoop-inmapper-r8,993379,3:16:57,263900,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Spark,PySpark 1 partition,/output/large-sweep/spark-p1,993379,29:50.75,688044,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Spark,PySpark 2 partitions,/output/large-sweep/spark-p2,993379,27:36.22,762960,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Spark,PySpark 4 partitions,/output/large-sweep/spark-p4,993379,28:53.58,706532,Large sweep; output matches expected
gutenberg-large-sweep,Project Gutenberg large 1.7GB,/input/gutenberg-large,Spark,PySpark 8 partitions,/output/large-sweep/spark-p8,993379,28:13.16,863868,Large sweep; output matches expected
